id,question,expected_source_doc,expected_answer,test_intent,system,kb_id_or_name,search_type,embedding_model,number_of_results,filter_name,filter_json,latency_ms,hit_rank,retrieved_source_doc,retrieved_chunk_excerpt,citation_correct,answer,answer_score,comment
Q05,3月分の経費精算の提出期限はいつ？,DOC-EXP-2026,4月5日,通常期限の翌月10日ではなく例外を拾えるか,s3_vectors_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q05,3月分の経費精算の提出期限はいつ？,DOC-EXP-2026,4月5日,通常期限の翌月10日ではなく例外を拾えるか,opensearch_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q05,3月分の経費精算の提出期限はいつ？,DOC-EXP-2026,4月5日,通常期限の翌月10日ではなく例外を拾えるか,opensearch_hybrid,,HYBRID,,10,none,,,,,,,,,
Q06,東京都23区内の宿泊費上限はいくら？,DOC-EXP-2026,"1泊14,000円",数値検索,s3_vectors_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q06,東京都23区内の宿泊費上限はいくら？,DOC-EXP-2026,"1泊14,000円",数値検索,opensearch_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q06,東京都23区内の宿泊費上限はいくら？,DOC-EXP-2026,"1泊14,000円",数値検索,opensearch_hybrid,,HYBRID,,10,none,,,,,,,,,
Q07,予定価格が50万円以上130万円未満の場合、見積は何者以上？,DOC-PROC-2026,3者以上,範囲条件・数値境界,s3_vectors_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q07,予定価格が50万円以上130万円未満の場合、見積は何者以上？,DOC-PROC-2026,3者以上,範囲条件・数値境界,opensearch_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q07,予定価格が50万円以上130万円未満の場合、見積は何者以上？,DOC-PROC-2026,3者以上,範囲条件・数値境界,opensearch_hybrid,,HYBRID,,10,none,,,,,,,,,
Q08,生成AIサービス調達時に確認すべき事項は？,DOC-PROC-2026,データ保存場所、学習利用有無、監査ログ、閉域網接続可否,業務に近い質問,s3_vectors_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q08,生成AIサービス調達時に確認すべき事項は？,DOC-PROC-2026,データ保存場所、学習利用有無、監査ログ、閉域網接続可否,業務に近い質問,opensearch_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q08,生成AIサービス調達時に確認すべき事項は？,DOC-PROC-2026,データ保存場所、学習利用有無、監査ログ、閉域網接続可否,業務に近い質問,opensearch_hybrid,,HYBRID,,10,none,,,,,,,,,
Q09,審議会議事録はいつまでに公開する？,DOC-PUBLIC-2026,会議終了後30日以内,文書管理系の日付,s3_vectors_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q09,審議会議事録はいつまでに公開する？,DOC-PUBLIC-2026,会議終了後30日以内,文書管理系の日付,opensearch_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q09,審議会議事録はいつまでに公開する？,DOC-PUBLIC-2026,会議終了後30日以内,文書管理系の日付,opensearch_hybrid,,HYBRID,,10,none,,,,,,,,,
Q10,震度5強以上の場合、災害対策本部はどうなる？,DOC-DISASTER-2026,自動設置,条件分岐,s3_vectors_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q10,震度5強以上の場合、災害対策本部はどうなる？,DOC-DISASTER-2026,自動設置,条件分岐,opensearch_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q10,震度5強以上の場合、災害対策本部はどうなる？,DOC-DISASTER-2026,自動設置,条件分岐,opensearch_hybrid,,HYBRID,,10,none,,,,,,,,,
Q11,避難所運営で取得した住民情報の利用目的は？,DOC-DISASTER-2026,避難者支援、安否確認、物資配布に限る,用途制限,s3_vectors_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q11,避難所運営で取得した住民情報の利用目的は？,DOC-DISASTER-2026,避難者支援、安否確認、物資配布に限る,用途制限,opensearch_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q11,避難所運営で取得した住民情報の利用目的は？,DOC-DISASTER-2026,避難者支援、安否確認、物資配布に限る,用途制限,opensearch_hybrid,,HYBRID,,10,none,,,,,,,,,
Q12,市民ホール、体育館、会議室はそれぞれ何か月前から予約可能？,DOC-FACILITY-2026,市民ホール6か月前、体育館3か月前、会議室2か月前,FAQ形式,s3_vectors_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q12,市民ホール、体育館、会議室はそれぞれ何か月前から予約可能？,DOC-FACILITY-2026,市民ホール6か月前、体育館3か月前、会議室2か月前,FAQ形式,opensearch_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q12,市民ホール、体育館、会議室はそれぞれ何か月前から予約可能？,DOC-FACILITY-2026,市民ホール6か月前、体育館3か月前、会議室2か月前,FAQ形式,opensearch_hybrid,,HYBRID,,10,none,,,,,,,,,
Q13,子育て支援補助金の補助上限はいくら？多胎児の場合は？,DOC-CHILDCARE-2026,"児童1人あたり年額18,000円。多胎児は児童ごとに適用",複数文統合,s3_vectors_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q13,子育て支援補助金の補助上限はいくら？多胎児の場合は？,DOC-CHILDCARE-2026,"児童1人あたり年額18,000円。多胎児は児童ごとに適用",複数文統合,opensearch_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q13,子育て支援補助金の補助上限はいくら？多胎児の場合は？,DOC-CHILDCARE-2026,"児童1人あたり年額18,000円。多胎児は児童ごとに適用",複数文統合,opensearch_hybrid,,HYBRID,,10,none,,,,,,,,,
Q14,庁内AI・RAGサービスの標準利用時間と夜間の優先処理は？,DOC-AI-SLA-2026,平日8時から23時。23時から翌7時は取込、再インデックス、バックアップ優先,SLA・運用要件,s3_vectors_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q14,庁内AI・RAGサービスの標準利用時間と夜間の優先処理は？,DOC-AI-SLA-2026,平日8時から23時。23時から翌7時は取込、再インデックス、バックアップ優先,SLA・運用要件,opensearch_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q14,庁内AI・RAGサービスの標準利用時間と夜間の優先処理は？,DOC-AI-SLA-2026,平日8時から23時。23時から翌7時は取込、再インデックス、バックアップ優先,SLA・運用要件,opensearch_hybrid,,HYBRID,,10,none,,,,,,,,,
Q15,RAG検索を含む回答の応答時間目標は？,DOC-AI-SLA-2026,20秒以内,運用KPI,s3_vectors_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q15,RAG検索を含む回答の応答時間目標は？,DOC-AI-SLA-2026,20秒以内,運用KPI,opensearch_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q15,RAG検索を含む回答の応答時間目標は？,DOC-AI-SLA-2026,20秒以内,運用KPI,opensearch_hybrid,,HYBRID,,10,none,,,,,,,,,
Q16,費用表で梅プランのベクトルストアと月額目安は？,DOC-AI-COST-2026,"S3 Vectors、45,000円",Markdown表の検索。Textractなしでも表がテキストなら取れる,s3_vectors_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q16,費用表で梅プランのベクトルストアと月額目安は？,DOC-AI-COST-2026,"S3 Vectors、45,000円",Markdown表の検索。Textractなしでも表がテキストなら取れる,opensearch_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q16,費用表で梅プランのベクトルストアと月額目安は？,DOC-AI-COST-2026,"S3 Vectors、45,000円",Markdown表の検索。Textractなしでも表がテキストなら取れる,opensearch_hybrid,,HYBRID,,10,none,,,,,,,,,
Q17,OpenSearch Serverless冗長構成は松竹梅のどれ？弱点は？,DOC-AI-COST-2026,松。弱点は常時費用が高い,表から複数列の対応関係を取れるか,s3_vectors_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q17,OpenSearch Serverless冗長構成は松竹梅のどれ？弱点は？,DOC-AI-COST-2026,松。弱点は常時費用が高い,表から複数列の対応関係を取れるか,opensearch_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q17,OpenSearch Serverless冗長構成は松竹梅のどれ？弱点は？,DOC-AI-COST-2026,松。弱点は常時費用が高い,表から複数列の対応関係を取れるか,opensearch_hybrid,,HYBRID,,10,none,,,,,,,,,
Q18,ハイブリッド検索とは何か。何に強いことがあるか？,DOC-GLOSSARY-2026,キーワード検索とベクトル検索の組み合わせ。固有名詞、番号、金額、日付に強いことがある,S3 Vectorsはsemantic onlyのため差が出やすい概念,s3_vectors_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q18,ハイブリッド検索とは何か。何に強いことがあるか？,DOC-GLOSSARY-2026,キーワード検索とベクトル検索の組み合わせ。固有名詞、番号、金額、日付に強いことがある,S3 Vectorsはsemantic onlyのため差が出やすい概念,opensearch_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q18,ハイブリッド検索とは何か。何に強いことがあるか？,DOC-GLOSSARY-2026,キーワード検索とベクトル検索の組み合わせ。固有名詞、番号、金額、日付に強いことがある,S3 Vectorsはsemantic onlyのため差が出やすい概念,opensearch_hybrid,,HYBRID,,10,none,,,,,,,,,
Q19,doc_idがDOC-AI-SLA-2026の文書に書かれた障害通知ルールを答えて。,DOC-AI-SLA-2026,全庁影響は検知後15分以内に一次報。復旧見込み30分超なら30分ごと続報,メタデータdoc_id指定のテスト。本文からdoc_id文字列を削除済みのため、本文一致ではなくメタデータフィルタ/API検証向き,s3_vectors_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q19,doc_idがDOC-AI-SLA-2026の文書に書かれた障害通知ルールを答えて。,DOC-AI-SLA-2026,全庁影響は検知後15分以内に一次報。復旧見込み30分超なら30分ごと続報,メタデータdoc_id指定のテスト。本文からdoc_id文字列を削除済みのため、本文一致ではなくメタデータフィルタ/API検証向き,opensearch_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q19,doc_idがDOC-AI-SLA-2026の文書に書かれた障害通知ルールを答えて。,DOC-AI-SLA-2026,全庁影響は検知後15分以内に一次報。復旧見込み30分超なら30分ごと続報,メタデータdoc_id指定のテスト。本文からdoc_id文字列を削除済みのため、本文一致ではなくメタデータフィルタ/API検証向き,opensearch_hybrid,,HYBRID,,10,none,,,,,,,,,
Q20,2026年度版で、テレワークの上限は週1日か週2日か？根拠も示して。,DOC-TELEWORK-2026,週2日。2026年度版を根拠にする,旧版混入に対する根拠性テスト,s3_vectors_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q20,2026年度版で、テレワークの上限は週1日か週2日か？根拠も示して。,DOC-TELEWORK-2026,週2日。2026年度版を根拠にする,旧版混入に対する根拠性テスト,opensearch_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q20,2026年度版で、テレワークの上限は週1日か週2日か？根拠も示して。,DOC-TELEWORK-2026,週2日。2026年度版を根拠にする,旧版混入に対する根拠性テスト,opensearch_hybrid,,HYBRID,,10,none,,,,,,,,,
Q01,テレワークの通常時上限と、特別な事情がある場合の上限は？,DOC-TELEWORK-2026,週2日、特別時は所属長承認で週4日,旧版DOC-TELEWORK-2025とノイズ文書に引っ張られないかを見る。metadata status/effective_from_num filterが重要,s3_vectors_semantic,,SEMANTIC,,10,status_active,"{""equals"":{""key"":""status"",""value"":""active""}}",,,,,,,,
Q01,テレワークの通常時上限と、特別な事情がある場合の上限は？,DOC-TELEWORK-2026,週2日、特別時は所属長承認で週4日,旧版DOC-TELEWORK-2025とノイズ文書に引っ張られないかを見る。metadata status/effective_from_num filterが重要,opensearch_semantic,,SEMANTIC,,10,status_active,"{""equals"":{""key"":""status"",""value"":""active""}}",,,,,,,,
Q01,テレワークの通常時上限と、特別な事情がある場合の上限は？,DOC-TELEWORK-2026,週2日、特別時は所属長承認で週4日,旧版DOC-TELEWORK-2025とノイズ文書に引っ張られないかを見る。metadata status/effective_from_num filterが重要,opensearch_hybrid,,HYBRID,,10,status_active,"{""equals"":{""key"":""status"",""value"":""active""}}",,,,,,,,
Q01,テレワークの通常時上限と、特別な事情がある場合の上限は？,DOC-TELEWORK-2026,週2日、特別時は所属長承認で週4日,旧版DOC-TELEWORK-2025とノイズ文書に引っ張られないかを見る。metadata status/effective_from_num filterが重要,s3_vectors_semantic,,SEMANTIC,,10,effective_from_num_20260401_or_later,"{""greaterThanOrEquals"":{""key"":""effective_from_num"",""value"":20260401}}",,,,,,,,
Q01,テレワークの通常時上限と、特別な事情がある場合の上限は？,DOC-TELEWORK-2026,週2日、特別時は所属長承認で週4日,旧版DOC-TELEWORK-2025とノイズ文書に引っ張られないかを見る。metadata status/effective_from_num filterが重要,opensearch_semantic,,SEMANTIC,,10,effective_from_num_20260401_or_later,"{""greaterThanOrEquals"":{""key"":""effective_from_num"",""value"":20260401}}",,,,,,,,
Q01,テレワークの通常時上限と、特別な事情がある場合の上限は？,DOC-TELEWORK-2026,週2日、特別時は所属長承認で週4日,旧版DOC-TELEWORK-2025とノイズ文書に引っ張られないかを見る。metadata status/effective_from_num filterが重要,opensearch_hybrid,,HYBRID,,10,effective_from_num_20260401_or_later,"{""greaterThanOrEquals"":{""key"":""effective_from_num"",""value"":20260401}}",,,,,,,,
Q02,テレワーク申請は何営業日前まで？,DOC-TELEWORK-2026,3営業日前,旧版では5営業日前。近似文書の取り違えを検出,s3_vectors_semantic,,SEMANTIC,,10,status_active,"{""equals"":{""key"":""status"",""value"":""active""}}",,,,,,,,
Q02,テレワーク申請は何営業日前まで？,DOC-TELEWORK-2026,3営業日前,旧版では5営業日前。近似文書の取り違えを検出,opensearch_semantic,,SEMANTIC,,10,status_active,"{""equals"":{""key"":""status"",""value"":""active""}}",,,,,,,,
Q02,テレワーク申請は何営業日前まで？,DOC-TELEWORK-2026,3営業日前,旧版では5営業日前。近似文書の取り違えを検出,opensearch_hybrid,,HYBRID,,10,status_active,"{""equals"":{""key"":""status"",""value"":""active""}}",,,,,,,,
Q02,テレワーク申請は何営業日前まで？,DOC-TELEWORK-2026,3営業日前,旧版では5営業日前。近似文書の取り違えを検出,s3_vectors_semantic,,SEMANTIC,,10,effective_from_num_20260401_or_later,"{""greaterThanOrEquals"":{""key"":""effective_from_num"",""value"":20260401}}",,,,,,,,
Q02,テレワーク申請は何営業日前まで？,DOC-TELEWORK-2026,3営業日前,旧版では5営業日前。近似文書の取り違えを検出,opensearch_semantic,,SEMANTIC,,10,effective_from_num_20260401_or_later,"{""greaterThanOrEquals"":{""key"":""effective_from_num"",""value"":20260401}}",,,,,,,,
Q02,テレワーク申請は何営業日前まで？,DOC-TELEWORK-2026,3営業日前,旧版では5営業日前。近似文書の取り違えを検出,opensearch_hybrid,,HYBRID,,10,effective_from_num_20260401_or_later,"{""greaterThanOrEquals"":{""key"":""effective_from_num"",""value"":20260401}}",,,,,,,,
Q20,2026年度版で、テレワークの上限は週1日か週2日か？根拠も示して。,DOC-TELEWORK-2026,週2日。2026年度版を根拠にする,旧版混入に対する根拠性テスト,s3_vectors_semantic,,SEMANTIC,,10,status_active,"{""equals"":{""key"":""status"",""value"":""active""}}",,,,,,,,
Q20,2026年度版で、テレワークの上限は週1日か週2日か？根拠も示して。,DOC-TELEWORK-2026,週2日。2026年度版を根拠にする,旧版混入に対する根拠性テスト,opensearch_semantic,,SEMANTIC,,10,status_active,"{""equals"":{""key"":""status"",""value"":""active""}}",,,,,,,,
Q20,2026年度版で、テレワークの上限は週1日か週2日か？根拠も示して。,DOC-TELEWORK-2026,週2日。2026年度版を根拠にする,旧版混入に対する根拠性テスト,opensearch_hybrid,,HYBRID,,10,status_active,"{""equals"":{""key"":""status"",""value"":""active""}}",,,,,,,,
Q20,2026年度版で、テレワークの上限は週1日か週2日か？根拠も示して。,DOC-TELEWORK-2026,週2日。2026年度版を根拠にする,旧版混入に対する根拠性テスト,s3_vectors_semantic,,SEMANTIC,,10,effective_from_num_20260401_or_later,"{""greaterThanOrEquals"":{""key"":""effective_from_num"",""value"":20260401}}",,,,,,,,
Q20,2026年度版で、テレワークの上限は週1日か週2日か？根拠も示して。,DOC-TELEWORK-2026,週2日。2026年度版を根拠にする,旧版混入に対する根拠性テスト,opensearch_semantic,,SEMANTIC,,10,effective_from_num_20260401_or_later,"{""greaterThanOrEquals"":{""key"":""effective_from_num"",""value"":20260401}}",,,,,,,,
Q20,2026年度版で、テレワークの上限は週1日か週2日か？根拠も示して。,DOC-TELEWORK-2026,週2日。2026年度版を根拠にする,旧版混入に対する根拠性テスト,opensearch_hybrid,,HYBRID,,10,effective_from_num_20260401_or_later,"{""greaterThanOrEquals"":{""key"":""effective_from_num"",""value"":20260401}}",,,,,,,,
Q14,庁内AI・RAGサービスの標準利用時間と夜間の優先処理は？,DOC-AI-SLA-2026,平日8時から23時。23時から翌7時は取込、再インデックス、バックアップ優先,SLA・運用要件,s3_vectors_semantic,,SEMANTIC,,10,category_ai_platform,"{""equals"":{""key"":""category"",""value"":""AI基盤""}}",,,,,,,,
Q14,庁内AI・RAGサービスの標準利用時間と夜間の優先処理は？,DOC-AI-SLA-2026,平日8時から23時。23時から翌7時は取込、再インデックス、バックアップ優先,SLA・運用要件,opensearch_semantic,,SEMANTIC,,10,category_ai_platform,"{""equals"":{""key"":""category"",""value"":""AI基盤""}}",,,,,,,,
Q14,庁内AI・RAGサービスの標準利用時間と夜間の優先処理は？,DOC-AI-SLA-2026,平日8時から23時。23時から翌7時は取込、再インデックス、バックアップ優先,SLA・運用要件,opensearch_hybrid,,HYBRID,,10,category_ai_platform,"{""equals"":{""key"":""category"",""value"":""AI基盤""}}",,,,,,,,
Q15,RAG検索を含む回答の応答時間目標は？,DOC-AI-SLA-2026,20秒以内,運用KPI。ノイズ文書にも応答時間という語が多く含まれるため、キーワード衝突下で正規SLA文書を拾えるかを見る,s3_vectors_semantic,,SEMANTIC,,10,category_ai_platform,"{""equals"":{""key"":""category"",""value"":""AI基盤""}}",,,,,,,,
Q15,RAG検索を含む回答の応答時間目標は？,DOC-AI-SLA-2026,20秒以内,運用KPI。ノイズ文書にも応答時間という語が多く含まれるため、キーワード衝突下で正規SLA文書を拾えるかを見る,opensearch_semantic,,SEMANTIC,,10,category_ai_platform,"{""equals"":{""key"":""category"",""value"":""AI基盤""}}",,,,,,,,
Q15,RAG検索を含む回答の応答時間目標は？,DOC-AI-SLA-2026,20秒以内,運用KPI。ノイズ文書にも応答時間という語が多く含まれるため、キーワード衝突下で正規SLA文書を拾えるかを見る,opensearch_hybrid,,HYBRID,,10,category_ai_platform,"{""equals"":{""key"":""category"",""value"":""AI基盤""}}",,,,,,,,
Q19,doc_idがDOC-AI-SLA-2026の文書に書かれた障害通知ルールを答えて。,DOC-AI-SLA-2026,全庁影響は検知後15分以内に一次報。復旧見込み30分超なら30分ごと続報,メタデータdoc_id指定のテスト。本文からdoc_id文字列を削除済みのため、doc_idフィルタありで評価する,s3_vectors_semantic,,SEMANTIC,,10,doc_id_ai_sla_2026,"{""equals"":{""key"":""doc_id"",""value"":""DOC-AI-SLA-2026""}}",,,,,,,,
Q19,doc_idがDOC-AI-SLA-2026の文書に書かれた障害通知ルールを答えて。,DOC-AI-SLA-2026,全庁影響は検知後15分以内に一次報。復旧見込み30分超なら30分ごと続報,メタデータdoc_id指定のテスト。本文からdoc_id文字列を削除済みのため、doc_idフィルタありで評価する,opensearch_semantic,,SEMANTIC,,10,doc_id_ai_sla_2026,"{""equals"":{""key"":""doc_id"",""value"":""DOC-AI-SLA-2026""}}",,,,,,,,
Q19,doc_idがDOC-AI-SLA-2026の文書に書かれた障害通知ルールを答えて。,DOC-AI-SLA-2026,全庁影響は検知後15分以内に一次報。復旧見込み30分超なら30分ごと続報,メタデータdoc_id指定のテスト。本文からdoc_id文字列を削除済みのため、doc_idフィルタありで評価する,opensearch_hybrid,,HYBRID,,10,doc_id_ai_sla_2026,"{""equals"":{""key"":""doc_id"",""value"":""DOC-AI-SLA-2026""}}",,,,,,,,
